Product Price,Quantity Sold,Discount Applied,Customer Age,Time on Site,Days Since Last Purchase,Product Category,Customer Segment,Region,Payment Method,Day of the Week,Promotion Type,Sales Amount
54.96714153011233,1,0.03264313115008731,42.84405430785199,6.075480581369063,13.312925425263558,Apparel,New Customer,North America,Credit Card,Saturday,Holiday Sale,89.9794732966094
48.61735698828815,0,0.29825632989704026,25.519363716406623,14.361546775745902,6.055549433805473,Apparel,VIP Customer,Asia,Credit Card,Wednesday,Clearance,-14.30110496820019
56.47688538100692,0,0.291417347086698,25.024280833769815,1.3247813666727535,30.232472422831083,Groceries,Returning Customer,North America,PayPal,Wednesday,Holiday Sale,22.757044129796377
65.23029856408026,1,0.23151048175114086,40.20229119191117,0.062273132590665824,9.725718869196745,Electronics,New Customer,North America,PayPal,Friday,Holiday Sale,65.05016868453842
47.658466252766644,2,0.14525648282134943,42.2229997062405,3.7246293506876134,56.07561791358575,Groceries,New Customer,North America,PayPal,Saturday,Clearance,36.60266247481494
47.6586304305082,3,0.15181825459093296,32.748776181455064,2.86208936782598,24.670612965762754,Apparel,Returning Customer,North America,Cash,Tuesday,Holiday Sale,128.5861406570894
65.79212815507391,2,0.07716386206123067,43.6898815525303,3.6720278161099094,14.248291843503184,Groceries,Returning Customer,Europe,Credit Card,Wednesday,Clearance,91.70763640393592
57.67434729152909,3,0.12981931084059747,42.96787606398358,36.332308486848135,67.06971718137687,Groceries,New Customer,Asia,Credit Card,Friday,Clearance,105.50860457956836
45.30525614065048,3,0.1294048133598997,53.991387901235186,8.387413055281833,52.87121566918317,Groceries,Returning Customer,Asia,Bank Transfer,Thursday,Flash Sale,99.84709612809591
55.42560043585965,4,0.010827005678021607,42.32926134619272,8.894343756792825,51.44981111544927,Apparel,New Customer,North America,Credit Card,Monday,Flash Sale,169.27514302841155
45.365823071875376,2,0.13594746241010083,52.07203084781463,10.661527107462025,39.097362115383916,Electronics,New Customer,Europe,PayPal,Tuesday,Clearance,61.012722538118496
45.34270246429743,1,0.14393832255524014,35.619291714229696,5.070419002500589,28.574200194866965,Apparel,Returning Customer,Asia,PayPal,Sunday,Flash Sale,6.742717955890299
52.41962271566034,2,0.19973495226895882,48.996261761086075,38.62086661221883,13.710177166157742,Apparel,New Customer,North America,Credit Card,Thursday,Clearance,58.59986422283045
30.86719755342202,2,0.15493587401630324,49.20766381505891,36.21647863015866,16.476622514187977,Apparel,VIP Customer,Europe,Credit Card,Monday,Holiday Sale,61.954098464665364
32.75082167486967,2,0.2585048797125608,33.57386260189863,14.664000929351978,31.24915616426776,Apparel,New Customer,Europe,Credit Card,Tuesday,Holiday Sale,59.93514082137956
44.37712470759027,1,0.1102685475725471,28.114596187217415,2.3786661561633355,5.693850382887694,Electronics,VIP Customer,North America,Credit Card,Sunday,Flash Sale,106.02395193685669
39.87168879665576,1,0.12291527736168067,29.87324171814655,21.219051264487426,52.7755080079204,Apparel,New Customer,North America,Credit Card,Wednesday,Holiday Sale,48.82391156604098
53.142473325952736,0,0.17144475409682233,39.15124164095991,1.0638313120464191,83.74469259214372,Electronics,New Customer,North America,PayPal,Sunday,Flash Sale,11.939749679294724
